east_m,north_m,vx_pred,vz_pred,vx_std,vz_std,speed_pred,speed_std
-52.257526,-353.131770,-0.022444,-0.140057,0.455914,0.256529,0.141844,0.263369
-48.160117,-353.131770,-0.009263,-0.140733,0.455926,0.256530,0.141038,0.257721
-44.062708,-353.131770,0.002345,-0.141367,0.455732,0.256528,0.141386,0.256604
-39.965298,-353.131770,0.011534,-0.141843,0.455361,0.256524,0.142311,0.258330
-35.867889,-353.131770,0.017758,-0.142071,0.455054,0.256520,0.143176,0.260722
-31.770480,-353.131770,0.020654,-0.142043,0.455084,0.256520,0.143537,0.262160
-27.673071,-353.131770,0.020036,-0.141876,0.455559,0.256523,0.143284,0.261869
-23.575661,-353.131770,0.016028,-0.141716,0.456378,0.256528,0.142619,0.260012
-19.478252,-353.131770,0.009242,-0.141630,0.457346,0.256533,0.141931,0.257715
-15.380843,-353.131770,0.000726,-0.141596,0.458290,0.256537,0.141598,0.256544
-11.283433,-353.131770,-0.008321,-0.141577,0.459100,0.256539,0.141821,0.257510
-7.186024,-353.131770,-0.016889,-0.141555,0.459721,0.256541,0.142559,0.260491
-3.088615,-353.131770,-0.024339,-0.141531,0.460152,0.256541,0.143608,0.264584
1.008794,-353.131770,-0.030405,-0.141510,0.460424,0.256541,0.144740,0.268819
5.106204,-353.131770,-0.035098,-0.141495,0.460583,0.256541,0.145783,0.272571
9.203613,-353.131770,-0.038585,-0.141486,0.460668,0.256541,0.146653,0.275587
13.301022,-353.131770,-0.041094,-0.141480,0.460712,0.256541,0.147327,0.277861
17.398431,-353.131770,-0.042852,-0.141477,0.460733,0.256541,0.147824,0.279502
-142.400530,-342.582020,-0.046436,-0.141474,0.460751,0.256541,0.148900,0.282948
-138.303121,-342.582020,-0.046467,-0.141474,0.460751,0.256541,0.148910,0.282979
-134.205712,-342.582020,-0.046520,-0.141474,0.460751,0.256541,0.148926,0.283030
-130.108302,-342.582020,-0.046607,-0.141474,0.460751,0.256541,0.148953,0.283115
-126.010893,-342.582020,-0.046749,-0.141474,0.460751,0.256541,0.148998,0.283254
-121.913484,-342.582020,-0.046979,-0.141474,0.460750,0.256541,0.149070,0.283481
-117.816074,-342.582020,-0.047350,-0.141473,0.460749,0.256541,0.149186,0.283847
-113.718665,-342.582020,-0.047943,-0.141470,0.460746,0.256541,0.149373,0.284434
-109.621256,-342.582020,-0.048881,-0.141465,0.460740,0.256541,0.149672,0.285369
-105.523847,-342.582020,-0.050342,-0.141452,0.460723,0.256541,0.150143,0.286841
-101.426437,-342.582020,-0.052582,-0.141420,0.460683,0.256541,0.150879,0.289130
-97.329028,-342.582020,-0.055943,-0.141348,0.460590,0.256541,0.152016,0.292628
-93.231619,-342.582020,-0.060850,-0.141183,0.460379,0.256541,0.153738,0.297838
-89.134210,-342.582020,-0.067747,-0.140823,0.459918,0.256541,0.156271,0.305283
-85.036800,-342.582020,-0.076929,-0.140073,0.458950,0.256539,0.159807,0.315233
-80.939391,-342.582020,-0.088188,-0.138606,0.457037,0.256531,0.164282,0.327165
-76.841982,-342.582020,-0.100204,-0.135993,0.453544,0.256504,0.168922,0.339153
-72.744572,-342.582020,-0.109781,-0.131942,0.447836,0.256423,0.171640,0.347705
-68.647163,-342.582020,-0.111551,-0.126907,0.439897,0.256232,0.168965,0.348400
-64.549754,-342.582020,-0.099497,-0.122732,0.431303,0.255923,0.157996,0.336593
-60.452345,-342.582020,-0.071222,-0.121944,0.425333,0.255655,0.141219,0.307814
