Lat,Lon,Sats,Speed,GPS_Alt,Dist,Time,Alt,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,speed_ms,time_s,dt_s,east_raw,north_raw,east_ekf,north_ekf,vx_ekf,vz_ekf,east_rts,north_rts,east_smooth,north_smooth,Lat_smooth,Lon_smooth
36.07914,-79.008215,7,0.58,152.3,5.9,803,5.9,5.89831,-1.79402,7.74078,0.13057,-0.46853,-0.44624,52.9962,16.41333,-74.52499,0.2592758158247653,0.0,0.7999999999999545,-22.64683557677244,16.790433923936753,-22.64683557677244,16.790433923936753,0.0,0.0,-16.030704893199783,15.030517657020585,-16.232163825885813,15.472495982731857,36.07912814749935,-79.00814362149436
36.07913,-79.008173,8,0.16,146.6,5.87,1803,5.87,5.8678,-1.82572,8.03031,0.1295,-0.4722,-0.44547,53.17159,13.12482,-75.27039,0.07152436298614215,0.9999999999999999,0.9999999999999999,-18.872362979500373,15.678484657338455,-19.501179738729373,15.863732348566826,1.572041898072497,-0.463119228070928,-15.692598780732343,13.472070818027785,-16.10562586223101,13.620938093118491,36.079111496039204,-79.00814221345804
36.079088,-79.008113,9,0.1,138.1,5.72,2803,5.72,5.72244,-1.51525,7.58525,0.00641,0.06231,-0.14432,54.3116,13.18328,-74.04268,0.044702726866338846,2.0,1.0,-13.480259270091702,11.008297738191452,-17.323178669442278,12.882511681226852,-0.26367051710736455,-1.3325073934490628,-15.409389664785873,11.910140237878613,-15.68822292261473,11.812433595957403,36.07909523176751,-79.00813756885591
36.079067,-79.008081,8,0.07,133.7,6.11,3803,6.11,6.11486,-1.25623,7.77966,-0.02642,0.00825,0.01038,54.44315,11.25402,-73.83806,0.031291908806437195,3.0,1.0,-10.604470626674399,8.673204278617952,-17.586849186549642,11.550004287777789,-0.26367051710736455,-1.3325073934490628,-15.339505193648957,10.425256066072487,-15.017444967039763,10.056566670986978,36.07907944087689,-79.00813010485308
36.079049,-79.00806,8,1.54,132.0,4.11,4803,4.11,4.11087,6.2668,5.55255,0.40516,0.09056,0.5226,55.32008,-8.18474,-69.89185,0.6884219937416183,4.0,1.0,-8.717234328038368,6.671695598882477,-17.850519703657007,10.217496894328725,-0.26367051710736455,-1.3325073934490628,-14.748335406358365,8.821682084217358,-14.130781955508898,8.362921497945605,36.07906420955992,-79.00812023861468
36.079014,-79.008043,8,4.71,130.9,3.47,5803,3.47,3.466,5.87677,7.71865,0.58353,0.20327,-0.18738,53.50774,-1.09617,-73.26805,2.1054984354045594,5.0,1.0,-7.1894716114015695,2.77987316649575,-18.11419022076437,8.884989500879662,-0.26367051710736455,-1.3325073934490628,-13.73330745485167,7.149631738472974,-13.065723848024916,6.741082256571669,36.07904962400921,-79.00810838730582
36.079006,-79.008033,9,0.14,130.7,8.31,6803,8.31,8.31267,1.08814,8.97309,0.92302,-0.55268,-0.87277,60.61093,25.32885,-71.95264,0.06258381761287439,6.0,1.0,-6.290787659833458,1.8903137533585745,-18.377860737871735,7.552482107430599,-0.26367051710736455,-1.3325073934490628,-12.391848491066444,5.459318474999086,-11.85976060459061,5.200633126603556,36.07903577041735,-79.00809496809163
36.078998,-79.008028,9,0.81,131.0,7.31,7803,7.31,7.31366,4.94238,2.75234,1.45691,-0.84834,0.31246,89.1406,2.7185,-37.34288,0.3620920876173447,7.0,1.0,-5.841445683477739,1.0007543402213992,-18.6415312549791,6.219974713981536,-0.26367051710736455,-1.3325073934490628,-10.821385666940262,3.8009557399554357,-10.550382185208761,3.7511582877796545,36.07902273497695,-79.00808039813722
36.078992,-79.00802,9,0.1,130.8,5.85,8803,5.85,5.84507,1.53799,8.23729,0.10797,0.15592,-0.00107,80.02046,18.13797,-54.13622,0.044702726866338846,8.0,1.0,-5.122498522909245,0.33358477983802537,-18.905201772086464,4.887467320532473,-0.26367051710736455,-1.3325073934490628,-9.119346134410707,2.224756979501771,-9.175078549882162,2.4022419198383496,36.07901060388061,-79.00806509460773
36.078987,-79.008016,9,0.26,130.6,5.71,9803,5.71,5.71107,1.15872,8.58066,0.09041,-0.54245,0.07957,77.52119,18.7226,-56.19702,0.116227089852481,9.0,1.0,-4.763024942053335,-0.2223898534611246,-19.16887228919383,3.55495992708341,-0.26367051710736455,-1.3325073934490628,-7.383157045415349,0.7809356397978657,-7.771339658613591,1.1634682025180272,36.078999463320926,-79.00804947466828
36.078983,-79.008008,9,0.16,131.5,2.84,10803,2.84,2.83609,-0.39781,9.77049,0.02062,0.02718,0.00367,67.40719,27.02426,-62.1748,0.07152436298614215,10.0,1.0,-4.044077781484841,-0.6671695596760507,-19.432542806301193,2.222452533634347,-0.26367051710736455,-1.3325073934490628,-5.710245551891745,-0.4802948329965755,-6.37665547140575,0.0444213155570814,36.07898939949049,-79.00803395548398
36.078975,-79.008002,9,0.31,130.9,1.43,11803,1.43,1.42792,0.61615,10.20658,0.46655,0.03268,-0.58338,64.0456,23.5019,-61.44402,0.1385784532856504,11.0,1.0,-3.5048674107726385,-1.556728972813226,-19.696213323408557,0.8899451401852843,-0.26367051710736455,-1.3325073934490628,-4.198038805777497,-1.50872099272173,-5.159227683366223,-0.901623187705897,36.07898089150787,-79.00802040869941
36.078973,-79.008001,9,0.29,130.9,0.8,12803,0.8,0.79561,0.3015,10.26521,0.02138,-0.48182,0.07132,56.12394,23.41421,-63.56329,0.12963790791238264,12.0,1.0,-3.4149990141295046,-1.7791188262743507,-4.845534315830852,-0.5297946391071442,1.9868234737357684,-0.6352029642076983,-2.943963959010139,-2.2541293932179274,-4.019850273390682,-1.6867462791826644,36.07897383072628,-79.00800773041125
36.07897,-79.007997,9,0.39,130.9,1.38,13803,1.38,1.38245,2.21037,9.41755,-0.31093,0.31139,-0.23885,55.247,21.79187,-70.79801,0.1743406347787215,13.0,1.0,-3.05552543441692,-2.112703606112376,-4.5625349181599635,-1.2544195666150166,0.3170076642970914,-0.24963238871474025,-2.044270575889485,-2.6674941147427473,-2.997700494416043,-2.3067446566551952,36.07896825494691,-79.00799635655977
36.078966,-79.007987,9,0.09,131.4,4.54,14803,4.54,4.54337,1.92203,8.94736,0.26237,0.14661,-0.23747,65.53639,19.77492,-66.64718,0.04023245417970496,14.0,1.0,-2.156841482848808,-2.557483312327302,-3.617335840116714,-1.753710465528176,0.14775380329992374,-0.03494453538831793,-1.6445667643464252,-2.8777309041565458,-2.151090163931268,-2.7567159718595873,36.07896420825765,-79.00798693600287
36.078964,-79.007982,9,0.48,131.5,1.39,15803,1.39,1.38784,2.27498,9.96012,0.1069,-0.72571,0.2784,57.01549,19.68723,-67.36334,0.21457308895842644,15.0,1.0,-1.7074995064930896,-2.779873165788427,-2.9901221437636147,-2.0256779722757794,0.20356717378628253,-0.031170020374415613,-1.3942765597848856,-2.963771333281817,-1.4601213688206776,-3.063436048171279,36.07896144985774,-79.00797924732885
36.078961,-79.007975,9,0.12,131.2,1.45,16803,1.45,1.45424,3.42233,10.04627,-0.04994,0.14126,-0.12217,51.65156,15.49255,-68.95644,0.05364327223960661,16.0,1.0,-1.078420741424404,-3.113457945626452,-2.476153394600594,-2.3399213127415766,0.08827272013096088,-0.0669357178549705,-1.1381289393102219,-3.079958896288798,-0.9201922056646018,-3.2469878193303234,36.078959799136996,-79.00797323933057
36.078959,-79.007974,9,0.13,131.9,2.06,17803,2.06,2.05603,3.82672,8.9354,-0.27275,-0.53756,-0.20174,54.25314,14.0456,-69.67261,0.0581135449262405,17.0,1.0,-0.9885523459245953,-3.335847799087577,-2.14294822980128,-2.58924076508144,0.057427937276203746,-0.05276570678623203,-0.945946651369231,-3.157582158205745,-0.5227663026609808,-3.329505402556218,36.078959057038546,-79.00796881702057
36.078956,-79.007967,9,0.05,132.9,2.38,18803,2.38,2.38206,4.62951,7.70489,-0.24709,0.3091,-0.09774,57.04473,8.74013,-73.76498,0.022351363433169423,18.0,1.0,-0.3594735797125844,-3.669432578925602,-1.810047194885067,-2.818934479958143,0.033938735059924424,-0.026363915092547627,-0.7110144017507076,-3.1483790985032076,-0.22724538907793357,-3.3460852121107143,36.07895890793274,-79.00796552864635
36.078956,-79.007965,9,0.83,133.0,4.21,19803,4.21,4.20897,3.32363,7.88375,0.38164,1.04962,-0.37828,57.2055,13.47559,-71.33879,0.3710326329906124,19.0,1.0,-0.1797367898562922,-3.669432578925602,-1.4373969892058929,-2.968263485525021,0.2563773229863796,-0.1401684934987773,-0.4198194300900624,-3.09652050100929,-0.010744466099009142,-3.323092893030385,36.07895911470763,-79.00796311955779
36.078957,-79.007962,9,0.43,133.3,3.87,20803,3.87,3.87398,5.53819,6.94337,-0.13393,-0.16524,0.44227,65.08331,2.30927,-69.13184,0.19222172552525704,20.0,1.0,0.0898683954998088,-3.5582376518413783,-0.9913902473667638,-3.125613340081224,0.20615542428627284,-0.08902066051438298,-0.009610193380618082,-3.1230966964842612,0.16243882564314768,-3.2844679167705415,36.07895946207039,-79.00796119248108
36.078958,-79.007959,9,0.09,134.0,-0.63,21803,-0.63,-0.62752,3.50369,5.10748,0.13073,1.92377,-0.55131,53.15697,3.53698,-73.48728,0.04023245417970496,21.0,1.0,0.3594735808559098,-3.4470427254644775,-0.6335140050949072,-3.1800748308380555,0.09390283738040306,-0.018611185225444013,0.30858105091817734,-3.117006885562687,0.3113199493419153,-3.2493801288801425,36.078959777622444,-79.00795953582387
36.078958,-79.007955,9,0.24,134.7,2.29,22803,2.29,2.28634,4.60678,8.16012,1.1246,-2.11619,0.1576,56.75241,3.59544,-71.25109,0.10728654447921322,22.0,1.0,0.7189471617118196,-3.4470427254644775,-0.31707200006478903,-3.1354587353910603,0.11511670175636805,0.014293637985823941,0.5199970526615267,-3.1004683763842062,0.4660311783194668,-3.231116496340859,36.07895994187123,-79.00795781429287
36.078958,-79.007953,9,0.56,135.3,-8.7,23803,-8.7,-8.70329,-0.68554,5.06561,0.17287,-0.5284,0.77504,20.81263,28.90967,-58.85706,0.25033527045149756,23.0,1.0,0.8986839515681119,-3.4470427254644775,0.011426520056899814,-3.0480050039753905,0.21513747653363863,0.06727837803294676,0.7329657406763911,-3.1423766317114756,0.6272251527450523,-3.2325828622540933,36.078959928683894,-79.00795602062587
36.078958,-79.007949,9,0.09,136.0,-7.55,24803,-7.55,-7.55354,-2.8014,5.75653,0.16127,-0.66294,0.35568,20.34493,31.84741,-57.3955,0.04023245417970496,24.0,1.0,1.2581575324240217,-3.4470427254644775,0.31103267903453097,-3.1943383788427395,0.10853692601976342,-0.05446247823971556,1.0054277801100875,-3.2521760195868166,0.8101185196827971,-3.2465169030400753,36.07895980337205,-79.00795398550143
36.078959,-79.00794,0,0.75,0.0,-12.44,203,-12.44,-12.43909,-0.11605,3.08255,0.1266,0.68203,2.11115,17.05642,20.28647,-45.54224,0.3352704514975413,-0.6000000000000001,0.001,2.0669730884923245,-3.335847799087577,0.543259496307883,-3.2967869394409792,0.2283660654237123,-0.2172652598872247,1.0176797897769487,-3.253897026047074,0.982596580722741,-3.264057583303279,36.07895964562493,-79.00795206627208
36.078959,-79.00794,9,0.75,139.5,-7.78,403,-7.78,-7.77667,-0.268,4.09891,-0.31658,4.03644,-2.07541,24.07191,18.64952,-51.15463,0.3352704514975413,-0.4,0.20000000000000007,2.0669730884923245,-3.335847799087577,0.7617414435975699,-3.308722671181789,0.24023269110490592,-0.22753469811073912,1.0802637730230826,-3.286413148256331,1.1440073854821293,-3.2833117247923633,36.07895947246827,-79.00795027019234
36.078958,-79.007939,9,0.2,139.5,2.13,1203,2.13,2.1332,2.6991,9.72024,0.26176,0.01939,0.1909,48.43613,12.90558,-61.66326,0.08940545373267769,0.4,0.8,2.156841485135459,-3.4470427254644775,1.086764093769093,-3.3851833251370094,0.15185534408977008,-0.06468664132704768,1.3124134809281136,-3.388820094949453,1.2874598271481474,-3.3051345274391255,36.07895927621109,-79.00794867394217
36.078958,-79.007939,9,0.2,139.8,1.01,1403,1.01,1.01276,1.57089,10.48415,-0.04215,0.76404,0.40363,48.4069,14.54253,-62.02865,0.08940545373267769,0.6,0.19999999999999996,2.156841485135459,-3.4470427254644775,1.2157379158817085,-3.3907829524630513,0.09866165862411917,-0.04868734112721619,1.352757610428534,-3.3951800199736164,1.4147452274266112,-3.334464447466372,36.078959012440784,-79.00794725758884
36.078958,-79.007936,9,0.38,139.8,-6.68,2203,-6.68,-6.67956,-1.15095,11.39402,0.70234,0.00504,2.60168,43.46682,25.05116,-68.85413,0.1698703620920876,1.4,0.7999999999999999,2.4264466693482345,-3.4470427254644775,1.4500827466456174,-3.366357743575829,0.16253632005217616,-0.023653022672562144,1.473237748682813,-3.398643784495523,1.522600397397674,-3.361311967189095,36.078958770995236,-79.0079460574431
